,label,text,precautions
0,fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
1,fungal infection,skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
2,fungal infection,itching  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
3,fungal infection,itching  skin rash  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
4,fungal infection,itching  skin rash  nodal skin eruptions,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
5,fungal infection,skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
6,fungal infection,itching  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
7,fungal infection,itching  skin rash  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
8,fungal infection,itching  skin rash  nodal skin eruptions,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
9,fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
20,gerd,stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
21,gerd,stomach pain  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
22,gerd,stomach pain  acidity  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
23,gerd,stomach pain  acidity  ulcers on tongue  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
24,gerd,stomach pain  acidity  ulcers on tongue  vomiting  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
25,gerd,stomach pain  acidity  ulcers on tongue  vomiting  cough,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
26,gerd,acidity  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
27,gerd,stomach pain  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
28,gerd,stomach pain  acidity  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
29,gerd,stomach pain  acidity  ulcers on tongue  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
30,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
31,chronic cholestasis,vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
32,chronic cholestasis,itching  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
33,chronic cholestasis,itching  vomiting  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
34,chronic cholestasis,itching  vomiting  yellowish skin  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
35,chronic cholestasis,itching  vomiting  yellowish skin  nausea  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
36,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
37,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain,cold baths  anti itch medicine  consult doctor  eat healthy
38,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
39,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
50,peptic ulcer diseae,vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
51,peptic ulcer diseae,vomiting  indigestion  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
52,peptic ulcer diseae,indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
53,peptic ulcer diseae,vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
